,player,nationality,team,position,birth_year,games,games_starts,minutes,goals,assists,cards_yellow,cards_red,xg,xg_assist,progressive_carries_x,progressive_passes_x,progressive_passes_received_x,goals_per90,assists_per90,xg_per90,xg_assist_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,passes_completed,passes_pct,passes_total_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_y,sca,sca_per90,gca,gca_per90,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won,take_ons_tackled,carries,carries_progressive_distance,progressive_carries_y,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received_y,fouls,fouled,offsides,crosses,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,price,skill/pot
14,Andreas Pereira,BRA,Fulham,MF,29,31,23,1879.0,2,4,7,0,3.5,4.5,27,99,78,0.10,0.19,0.17,0.21,,,,,22.9,0.38,0.06,22.1,641,68.9,11658,83.6,78.3,41.0,56,64,19,4,99,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,13,8,556,1266,27,35,8,26,21,648,78,27,23,1,168,97,12,21,36.4,€19M,75.7/75.7
15,Andrew Robertson,SCO,Liverpool,DF,31,31,27,2308.0,0,0,3,1,1.0,4.1,58,165,95,0.00,0.00,0.04,0.16,,,,,15.4,0.08,0.00,14.5,1456,83.0,24521,94.1,86.8,46.8,38,144,28,16,165,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,7,10,1028,2588,58,48,6,25,11,1302,95,11,8,2,136,91,6,12,33.3,€24M,80.2/80.6
16,André,BRA,Wolves,MF,24,30,28,2249.0,0,0,7,0,0.4,0.7,8,95,11,0.00,0.00,0.02,0.03,,,,,11.1,0.04,0.00,25.3,1111,92.8,17503,95.3,95.4,80.0,15,101,4,0,95,45,1.80,3,0.12,80,48,57,25,41,8,33,32,1451,83,395,939,132,3,27,13,10,795,1440,8,14,0,27,17,973,11,34,32,0,0,176,2,6,25.0,€29.8M,71.5/79.3
17,André Onana,CMR,Manchester Utd,GK,29,33,33,2970.0,0,0,0,0,0.0,0.2,0,1,0,0.00,0.00,0.00,0.01,1.30,69.0,27.3,25.0,,0.00,,,920,73.1,21868,99.1,99.0,36.3,1,24,0,0,1,4,0.12,0,0.00,1,1,3,2,0,0,0,0,1323,1005,1302,22,0,0,0,0,0,932,2615,0,0,0,1,0,810,0,0,2,0,0,33,6,0,100.0,€34.2M,73.5/76.9
18,Anthony Elanga,SWE,Nott'ham Forest,"FW,MF",23,34,27,2142.0,6,9,1,0,4.0,4.7,84,52,177,0.25,0.38,0.17,0.20,,,,,50.0,0.80,0.16,17.2,452,64.9,6511,83.3,63.1,33.6,43,27,24,7,52,87,3.66,14,0.59,17,12,16,12,11,1,10,5,953,29,127,276,566,94,75,23,35,509,2210,84,42,41,67,38,637,177,8,35,14,151,82,22,33,40.0,€45.5M,75.0/82.6
19,Anthony Gordon,ENG,Newcastle Utd,FW,24,31,25,2235.0,6,5,2,0,8.0,4.9,110,93,197,0.24,0.20,0.32,0.20,,,,,28.6,0.64,0.09,16.8,671,73.3,10367,85.9,78.2,43.2,50,61,52,17,93,99,3.99,12,0.48,31,17,34,22,24,2,22,6,1178,16,115,444,638,123,96,35,45,757,3029,110,56,55,28,35,851,197,19,65,8,122,92,6,7,46.2,€49.5M,80.7/86.9
20,Antoine Semenyo,GHA,Bournemouth,FW,25,34,33,2933.0,9,5,9,0,9.3,5.8,133,106,259,0.28,0.15,0.29,0.18,,,,,31.4,1.14,0.08,17.2,737,73.2,10554,84.7,76.5,38.6,45,48,44,8,106,123,3.77,13,0.40,53,34,42,26,59,8,51,10,1503,44,187,526,824,176,125,64,52,904,3409,133,65,65,79,72,1041,259,66,36,14,52,150,61,72,45.9,€47.7M,74.1/79.3
21,Antonee Robinson,USA,Fulham,DF,28,34,33,2989.0,0,10,8,0,0.7,4.1,114,123,265,0.00,0.30,0.02,0.12,,,,,12.5,0.06,0.00,22.1,1523,76.6,26058,86.7,79.0,56.4,42,113,54,28,123,77,2.32,11,0.33,90,57,89,45,37,7,30,57,2404,128,765,911,763,67,78,34,33,1278,4057,114,60,29,41,18,1440,265,31,17,6,165,148,45,25,64.3,€46.4M,77.9/78.7
22,Archie Gray,ENG,Tottenham,"DF,MF",19,25,16,1481.0,0,0,0,0,0.0,0.1,6,34,15,0.00,0.00,0.00,0.01,,,,,100.0,0.06,0.00,24.6,940,88.3,16462,92.3,92.7,60.2,2,39,0,0,34,5,0.30,0,0.00,13,7,17,10,19,10,9,12,1179,139,564,537,88,2,11,6,4,816,1552,6,5,0,9,10,881,15,9,11,0,13,59,10,9,52.6,€58.2M,71.0/89.0
23,Ashley Young,ENG,Everton,"DF,FW",40,29,17,1622.0,1,3,6,1,0.3,1.6,20,83,27,0.06,0.17,0.01,0.09,,,,,50.0,0.17,0.17,24.5,610,69.9,11228,88.0,76.0,40.3,19,72,18,9,83,38,2.11,6,0.33,51,29,51,19,10,3,7,23,1043,52,316,452,280,9,15,5,7,415,1214,20,24,1,8,1,535,27,25,18,0,66,61,10,11,47.6,€1.3M,72.5/72.5
24,Bart Verbruggen,NED,Brighton,GK,23,33,33,2970.0,0,1,5,0,0.0,0.0,0,2,0,0.00,0.03,0.00,0.00,1.67,64.7,18.2,0.0,,0.00,,,938,76.9,22231,99.3,98.2,45.9,1,18,1,0,2,5,0.15,1,0.03,0,0,3,3,1,0,1,0,1304,1034,1291,13,0,0,2,2,0,880,1679,0,1,1,2,0,837,0,0,2,0,0,58,10,1,90.9,€30.7M,72.3/84.4
25,Ben Davies,WAL,Tottenham,DF,32,14,12,1126.0,0,0,4,0,0.3,0.2,14,50,6,0.00,0.00,0.02,0.02,,,,,20.0,0.08,0.00,17.0,793,88.3,14904,91.4,94.4,63.1,2,43,2,0,50,8,0.64,0,0.00,14,10,14,7,24,16,8,12,1038,173,543,450,45,12,1,1,0,585,1699,14,10,0,4,0,696,6,14,6,0,4,36,47,38,55.3,€5.6M,66.4/66.4
26,Ben Johnson,ENG,Ipswich Town,"DF,FW",25,22,14,1348.0,1,2,5,1,1.1,1.3,16,26,33,0.07,0.13,0.07,0.09,,,,,42.9,0.20,0.14,12.6,296,71.5,4812,86.2,74.8,49.0,12,21,3,2,26,23,1.54,5,0.33,38,22,41,21,22,5,17,13,624,60,245,219,163,12,24,8,14,259,585,16,12,3,23,17,290,33,27,6,1,37,57,19,18,51.4,€12.6M,66.6/70.6
27,Ben White,ENG,Arsenal,DF,28,14,10,941.0,0,1,2,0,0.4,0.8,11,44,28,0.00,0.10,0.04,0.08,,,,,14.3,0.10,0.00,19.1,449,83.6,7272,92.4,84.6,48.9,7,39,8,1,44,16,1.53,1,0.10,13,9,28,17,9,7,2,15,633,46,183,289,165,20,4,0,3,292,622,11,11,3,8,4,375,28,8,4,1,10,26,15,5,75.0,€58.8M,83.1/84.9
28,Bernardo Silva,POR,Manchester City,"MF,FW",31,30,26,2401.0,3,4,7,0,3.2,4.4,94,115,184,0.11,0.15,0.12,0.16,,,,,35.7,0.37,0.11,12.9,1370,87.1,20876,92.2,88.4,66.7,47,75,33,7,115,83,3.11,8,0.30,52,34,52,28,33,7,26,20,1816,48,318,739,777,131,59,27,25,1137,3650,94,60,31,21,32,1346,184,26,29,3,54,93,5,10,33.3,€50M,86.7/87.8
29,Bernd Leno,GER,Fulham,GK,33,35,35,3150.0,0,1,4,0,0.0,0.1,0,0,0,0.00,0.03,0.00,0.00,1.34,68.3,14.3,0.0,,0.00,,,1060,81.5,25878,99.5,98.9,47.5,2,16,2,0,0,5,0.14,2,0.06,2,2,2,0,1,0,1,0,1364,1097,1354,10,0,0,0,0,0,892,2023,0,0,0,0,0,799,0,0,3,0,0,48,9,0,100.0,€13.7M,74.0/74.0
30,Beto,GNB,Everton,FW,27,27,12,1268.0,7,0,2,0,6.6,0.8,12,10,66,0.50,0.00,0.47,0.06,,,,,50.0,1.42,0.18,13.2,124,57.1,1676,67.9,50.0,87.5,8,5,4,1,10,17,1.21,0,0.00,14,6,8,3,8,1,7,3,429,22,43,188,204,72,32,17,14,221,390,12,9,9,59,33,309,66,30,18,14,3,30,78,92,45.9,€24.4M,66.7/66.7
31,Bilal El Khannouss,MAR,Leicester City,MF,21,30,25,2003.0,2,3,4,0,1.1,4.1,71,119,83,0.09,0.13,0.05,0.18,,,,,21.4,0.27,0.07,22.3,735,75.2,13072,86.1,80.6,57.0,36,83,28,6,119,66,2.97,5,0.22,46,26,28,13,21,4,17,6,1172,17,166,602,416,33,53,30,20,679,1949,71,42,12,36,36,788,83,28,11,1,83,84,19,20,48.7,€40.6M,64.6/79.6
32,Boubacar Kamara,FRA,Aston Villa,MF,26,23,17,1463.0,0,0,2,0,0.4,0.9,16,74,7,0.00,0.00,0.02,0.05,,,,,14.3,0.06,0.00,21.1,738,89.2,11638,93.4,91.8,54.4,10,82,8,0,74,24,1.48,2,0.12,49,20,54,26,17,7,10,17,991,92,308,572,118,8,24,8,8,517,1121,16,11,1,10,15,673,7,25,28,0,1,73,17,23,42.5,€46.3M,78.9/82.6
33,Boubakary Soumaré,FRA,Leicester City,MF,26,28,23,1960.0,0,0,8,0,0.3,0.4,31,95,21,0.00,0.00,0.01,0.02,,,,,0.0,0.00,0.00,23.4,985,86.7,14936,92.0,87.6,69.1,11,90,13,2,95,34,1.56,3,0.14,33,18,30,12,20,8,12,24,1324,64,352,835,150,17,44,27,13,788,1881,31,16,3,20,21,929,21,21,21,0,8,130,20,9,69.0,€15.4M,69.0/74.1
34,Brennan Johnson,WAL,Tottenham,FW,24,31,23,2083.0,11,3,5,0,9.8,2.3,57,70,194,0.48,0.13,0.43,0.10,,,,,37.7,0.86,0.21,11.4,438,71.0,5790,80.5,75.7,34.4,19,25,35,6,70,46,1.99,7,0.30,39,26,31,15,25,3,22,4,825,16,89,282,466,120,44,19,22,527,1410,57,21,32,25,16,609,194,26,25,12,52,60,7,20,25.9,€71.3M,76.4/84.3
